machine_id,shopify_handle,brand,model,status,primary_track_size,hero_url,track_count,uc_count,notes
mdl_bobcat_e37,bobcat-e37,Bobcat,E37,review,300x52.5Nx84,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/bobcat-excavator-hero.webp?v=1773973926,0,0,no_products
mdl_bobcat_e42,bobcat-e42,Bobcat,E42,partial,,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e42-hero.webp,1,5,missing_primary_track_size
mdl_bobcat_e45,bobcat-e45,Bobcat,E45,ready,400x72.5Kx74,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e45-hero.webp,4,6,
mdl_bobcat_e50,bobcat-e50,Bobcat,E50,ready,400x72.5Kx74,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e50-hero.webp,4,6,
mdl_bobcat_e55,bobcat-e55,Bobcat,E55,ready,400x72.5Kx74,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e55-hero.webp,4,6,
mdl_bobcat_e55z,bobcat-e55z,Bobcat,E55Z,partial,400x72.5Kx74,,2,1,missing_hero
mdl_bobcat_e60,bobcat-e60,Bobcat,E60,ready,400x72.5Wx76,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e60-hero.webp,2,2,
mdl_bobcat_e62,bobcat-e62,Bobcat,E62,review,400x72.5Wx76,,0,0,missing_hero; no_products
mdl_bobcat_e63,bobcat-e63,Bobcat,E63,ready,400x72.5Wx76,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e63-hero.webp,2,2,
mdl_bobcat_e80,bobcat-e80,Bobcat,E80,ready,450x81Nx76,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e80-hero.webp,5,4,
